user_id,highest_education,degree_type,specialization,graduation_year,core_subject_strength,resume_skill_score,interest_domain,interest_level,assessment_score,recommended_career
,,,,,,,,,,
1,BTech,Engineering,AIML,2024,8,9,Data Science,5,48,Data Scientist
2,BTech,Engineering,CSE,2023,7,8,Software Development,4,46,Software Engineer
3,BTech,Engineering,IT,2024,6,7,Web Development,4,42,Web Developer
4,BSc,Science,Computer Science,2022,5,6,Data Analysis,3,40,Data Analyst
5,BTech,Engineering,ECE,2023,6,5,Embedded Systems,4,44,Embedded Engineer
6,BTech,Engineering,AIML,2024,9,8,Machine Learning,5,50,ML Engineer
7,BTech,Engineering,CSE,2023,7,6,Cyber Security,4,47,Cyber Security Analyst
8,BCA,Applications,Computer Applications,2022,5,6,Software Testing,3,38,QA Engineer
9,BTech,Engineering,IT,2024,6,7,Cloud Computing,4,45,Cloud Engineer
10,BTech,Engineering,CSE,2023,8,9,Backend Development,5,49,Backend Developer
11,MTech,Engineering,AI,2022,9,8,Artificial Intelligence,5,50,AI Engineer
12,MBA,Management,HR,2023,6,5,Human Resources,4,41,HR Analyst
13,MBA,Management,Marketing,2022,7,6,Digital Marketing,4,43,Digital Marketer
14,BCom,Commerce,Finance,2021,6,7,Finance,4,44,Financial Analyst
15,MSc,Science,Data Science,2023,8,8,Data Science,5,48,Data Scientist
16,BTech,Engineering,Mechanical,2022,5,4,Design Engineering,3,39,Design Engineer
17,BTech,Engineering,Civil,2021,5,4,Construction Planning,3,38,Site Engineer
18,BTech,Engineering,CSE,2024,7,8,Mobile App Development,4,46,App Developer
19,BCA,Applications,IT,2023,6,6,System Administration,3,41,System Administrator
20,BTech,Engineering,AIML,2024,8,9,Deep Learning,5,49,ML Engineer
21,MTech,Engineering,Data Engineering,2022,8,7,Big Data,4,45,Data Engineer
22,MBA,Management,Business Analytics,2023,7,6,Business Intelligence,4,44,Business Analyst
23,BSc,Science,Statistics,2021,6,7,Data Analysis,4,42,Data Analyst
24,BTech,Engineering,EEE,2022,6,5,Power Systems,3,40,Electrical Engineer
25,BTech,Engineering,CSE,2024,7,8,DevOps,4,46,DevOps Engineer
26,MSc,Science,Cyber Security,2023,7,6,Cyber Security,4,45,Cyber Security Analyst
27,BTech,Engineering,IT,2022,6,7,Networking,3,41,Network Engineer
28,BBA,Management,Business Administration,2021,6,5,Operations,3,39,Operations Analyst
29,MTech,Engineering,Robotics,2022,8,7,Robotics,4,47,Robotics Engineer
30,BTech,Engineering,AIML,2023,8,9,NLP,5,48,NLP Engineer
31,BTech,Engineering,CSE,2021,6,6,Software Testing,3,40,QA Engineer
32,MBA,Management,Finance,2022,7,6,Investment Analysis,4,44,Investment Analyst
33,BSc,Science,Mathematics,2021,6,6,Research,3,41,Research Assistant
34,BTech,Engineering,CSE,2024,8,8,Full Stack Development,5,49,Full Stack Developer
35,BTech,Engineering,IT,2023,7,7,Database Management,4,45,Database Administrator
36,MSc,Science,AI,2022,8,7,AI Research,4,46,AI Researcher
37,BTech,Engineering,CSE,2021,6,6,UI UX Design,3,42,UI UX Designer
38,BTech,Engineering,ECE,2023,6,5,IoT,3,41,IoT Engineer
39,BTech,Engineering,Mechanical,2022,6,5,Manufacturing,3,40,Manufacturing Engineer
40,BTech,Engineering,Civil,2023,6,5,Structural Design,3,42,Structural Engineer
41,MTech,Engineering,Cloud Computing,2022,8,7,Cloud Architecture,4,47,Cloud Architect
42,BCA,Applications,Computer Applications,2023,6,6,Tech Support,3,39,Support Engineer
43,BTech,Engineering,IT,2024,7,8,AI Ops,4,46,AIOps Engineer
44,MBA,Management,Product Management,2022,7,6,Product Strategy,4,45,Product Manager
45,BSc,Science,Physics,2021,6,5,Scientific Computing,3,40,Scientific Analyst
46,BTech,Engineering,CSE,2023,8,8,Game Development,4,47,Game Developer
47,MTech,Engineering,ML,2022,9,8,ML Research,5,50,ML Researcher
48,BTech,Engineering,AIML,2024,8,9,Computer Vision,5,49,Computer Vision Engineer
49,MBA,Management,Operations,2023,6,5,Supply Chain,3,41,Supply Chain Analyst
50,BTech,Engineering,IT,2024,7,8,Blockchain,4,46,Blockchain Developer
52,BTech,Engineering,IT,2023,6,6,IT Support,3,40,IT Support Engineer
53,MBA,Management,Marketing,2024,7,6,Brand Management,4,44,Brand Manager
54,MSc,Science,Statistics,2022,8,7,Data Modeling,4,46,Data Scientist
55,BTech,Engineering,ECE,2021,6,5,Telecommunications,3,41,Telecom Engineer
56,BTech,Engineering,AIML,2024,9,9,AI Research,5,50,AI Research Scientist
57,BCA,Applications,Computer Applications,2023,6,6,Web Development,4,42,Web Developer
58,BTech,Engineering,Mechanical,2022,6,5,CAD Design,3,40,CAD Engineer
59,MTech,Engineering,Power Electronics,2022,8,7,Power Systems,4,47,Power Engineer
60,BTech,Engineering,CSE,2024,7,8,API Development,4,46,Backend Developer
61,MBA,Management,Finance,2023,7,6,Risk Analysis,4,44,Risk Analyst
62,BSc,Science,Data Science,2024,8,7,Data Visualization,4,46,Data Analyst
63,BTech,Engineering,IT,2021,6,6,Network Security,3,41,Security Engineer
64,BTech,Engineering,CSE,2022,7,7,Automation Testing,4,45,Automation Tester
65,MSc,Science,AI,2023,8,7,AI Ethics,4,44,AI Policy Analyst
66,BTech,Engineering,Civil,2021,6,5,Urban Planning,3,40,Urban Planner
67,MBA,Management,Business Analytics,2024,7,7,Market Analysis,4,45,Business Analyst
68,BTech,Engineering,ECE,2023,6,6,VLSI Design,4,44,VLSI Engineer
69,BTech,Engineering,AIML,2024,8,9,Recommendation Systems,5,49,ML Engineer
70,BSc,Science,Computer Science,2022,6,6,Academic Research,3,41,Research Associate
71,BTech,Engineering,CSE,2021,7,6,System Programming,3,42,System Software Engineer
72,MTech,Engineering,Cloud Computing,2023,8,7,Cloud Security,4,47,Cloud Security Engineer
73,BBA,Management,Entrepreneurship,2022,6,5,Startup Strategy,3,40,Startup Consultant
74,BTech,Engineering,IT,2024,7,8,Data Engineering,4,46,Data Engineer
